name,phone,email,address
Piotr Dudek,604787072,piotr.dudek@szafa.pl,"plac Unii Lubelskiej 364, 25-006 Nowe Miasto nad Pilicą"
Teresa Pawlak,605757651,teresa.pawlak@prostokat.gov.pl,"al. Niepodległości 323, 28-926 Adamówka"
Jakub Piotrowicz,500760148,jakub.piotrowicz@rybitwa.com,"Kwiatowa 368, 90-376 Konstantynów"
Alberta Górska,507341714,gorska@polka.wroc.pl,"Grzegorza 393, 81-932 Czarna"
Dariusz Adamczyk,604819047,dariusz.adamczyk@linia.gov.pl,"Bonifratrów 129, 59-538 Świątniki Górne"
Amina Wróblewska,504270309,amina.wroblewska@trojkat.wroc.pl,"Wolności 158, 02-017 Raniżów"
Adela Witkowska,606955879,adela.witkowska@krzeslo.com,"Wolności 285, 53-814 Jabłonowo Pomorskie"
Radosław Wróblewski,507303931,radoslaw.wroblewski@rybitwa.waw.pl,"al. Niepodległości 177, 72-680 Chodów"
Adela Sikora,505908644,adela.sikora@prostokat.wroc.pl,"al. Jerozolimskie 165, 57-459 Zembrzyce"
Alesja Sikora,500543554,alesja.sikora@pracownik.eu,"Grzegorza 67, 70-051 Koniusza"
Wiesław Olszewski,506251355,wieslaw.olszewski@strazak.pl,"Radomska 272, 32-434 Sieniawa"
Edmund Fedorczuk,608301250,fedorczuk@weterynarz.wroc.pl,"Ogrodowa 44, 16-180 Joniec"
Albertyna Zielińska,502469248,zielinska@elektromonter.waw.pl,"Wołoska 260, 82-781 Zwoleń"
Jan Piotrowski,602717217,piotrowski@drzwi.wroc.pl,"Brzozowa 254, 07-135 Lubomierz"
Marcin Glegoła,504915224,glegola@ostryga.gov.pl,"al. Niepodległości 17, 02-540 Trzebnica"
Dariusz Kowalski,600503182,kowalski@poligon.gov.pl,"al. Niepodległości 157, 04-250 Parzęczew"
Anatolia Kowalska,508765690,kowalska@ostryga.wroc.pl,"Krótka 375, 55-472 Padew Narodowa"
Augustyna Wójcik,607469851,augustyna.wojcik@linia.eu,"ks. Józefa 63, 63-168 Osiek"
Henryk Sasin,600971547,henryk.sasin@punkt.com,"Bukowa 323, 87-509 Czarny Bór"
Anatolia Kowalska,507004905,kowalska@ostryga.wroc.pl,"Szkolna 90, 93-942 Niegowa"
Anatolia Kowalska,602021462,kowalska@nauczyciel.com.pl,"Leśna 71, 36-704 Gzy"
Amina Wróblewska,603803088,amina.wroblewska@trojkat.wroc.pl,"Ogrodowa 30, 99-836 Pilchowice"
Jan Piotrowski,500528220,piotrowski@drzwi.wroc.pl,"al. Niepodległości 91, 97-263 Grajewo"
Bogumiła Baran,610331750,baran@kredens.com,"Bukowa 385, 48-510 Brodnica"
Augustyna Zielińska,608536804,augustyna.zielinska@manager.com,"Szkolna 32, 94-175 Kozielice"
Apollina Kowalczyk,600539514,kowalczyk@zubr.gov.pl,"Łąkowa 279, 80-961 Drzewica"
Radosław Wróblewski,508420287,radoslaw.wroblewski@rybitwa.waw.pl,"Ogrodowa 78, 73-371 Bytnica"
